tool,refName,refLen,pufferfishK,lisaK,lisaLeafNodes,queryLen,threads,queryTime(ms),size(MB),NUM_IPBWT_BYTES,ipbwtSize(MB),rmiParamSize(MB),trainingDataSize(MB)
LISA,Human21,46709983,,16,1048576,32,1,2.735,473.4611111,10,445.4611111,28,403
LISA,Human21,46709983,,16,1048576,64,1,4.465,473.4611111,10,445.4611111,28,403
LISA,Human21,46709983,,16,1048576,96,1,6.888,473.4611111,10,445.4611111,28,403
LISA,Human21,46709983,,16,1048576,128,1,9.451,473.4611111,10,445.4611111,28,403
LISA,Human22,50818468,,16,1048576,32,1,2.631,512.6426773,10,484.6426773,28,438
LISA,Human22,50818468,,16,1048576,64,1,4.296,512.6426773,10,484.6426773,28,438
LISA,Human22,50818468,,16,1048576,96,1,6.436,512.6426773,10,484.6426773,28,438
LISA,Human22,50818468,,16,1048576,128,1,8.85,512.6426773,10,484.6426773,28,438
LISA,Human19,58617616,,16,1048576,32,1,3.256,587.0211487,10,559.0211487,28,505
LISA,Human19,58617616,,16,1048576,64,1,5.613,587.0211487,10,559.0211487,28,505
LISA,Human19,58617616,,16,1048576,96,1,8.588,587.0211487,10,559.0211487,28,505
LISA,Human19,58617616,,16,1048576,128,1,11.238,587.0211487,10,559.0211487,28,505
LISA,Human20,64444167,,16,1048576,32,1,3.333,642.5874691,10,614.5874691,28,555
LISA,Human20,64444167,,16,1048576,64,1,5.31,642.5874691,10,614.5874691,28,555
LISA,Human20,64444167,,16,1048576,96,1,7.783,642.5874691,10,614.5874691,28,555
LISA,Human20,64444167,,16,1048576,128,1,10.613,642.5874691,10,614.5874691,28,555
LISA,Human18,80373285,,16,1048576,32,1,2.932,794.4993763,10,766.4993763,28,692
LISA,Human18,80373285,,16,1048576,64,1,5.408,794.4993763,10,766.4993763,28,692
LISA,Human18,80373285,,16,1048576,96,1,8.216,794.4993763,10,766.4993763,28,692
LISA,Human18,80373285,,16,1048576,128,1,11.078,794.4993763,10,766.4993763,28,692