tool,refName,refLen,PufferfishK,LisaK,LisaLeafNodes,queryLen,threads,Time of querying(ms),Total Size(MB),,Size of MPHF(Bytes),Size of PosVec(Bytes),Time of Querying(ns)
pufferfish,Caulobac,4042929,32,,,32,1,1.132664,12.98843765,,2620684,10998680,1132664
pufferfish,Caulobac,4042929,64,,,64,1,1.136424,12.98843765,,2620684,10998680,1136424
pufferfish,Caulobac,4042929,96,,,96,1,1.283018,12.98843765,,2620684,10998680,1283018
pufferfish,Caulobac,4042929,128,,,128,1,1.174137,12.98843765,,2620684,10998680,1174137
pufferfish,Chlamydia,1042519,32,,,32,1,0.664068,3.120616913,,680212,2591992,664068
pufferfish,Chlamydia,1042519,64,,,64,1,0.664068,3.120616913,,680212,2591992,664068
pufferfish,Chlamydia,1042519,96,,,96,1,0.714864,3.120616913,,680212,2591992,714864
pufferfish,Chlamydia,1042519,128,,,128,1,0.700202,3.120616913,,680212,2591992,700202
pufferfish,Coxiella,1995488,32,,,32,1,0.957406,6.111858368,,1280660,5128088,957406
pufferfish,Coxiella,1995488,64,,,64,1,0.99502,6.111858368,,1280660,5128088,995020
pufferfish,Coxiella,1995488,96,,,96,1,0.898193,6.111858368,,1280660,5128088,898193
pufferfish,Coxiella,1995488,128,,,128,1,0.980322,6.111858368,,1280660,5128088,980322
pufferfish,Ecoli,4639675,32,,,32,1,1.217753,15.33256149,,2983972,13093384,1217753
pufferfish,Ecoli,4639675,64,,,64,1,1.223805,15.33256149,,2983972,13093384,1223805
pufferfish,Ecoli,4639675,96,,,96,1,1.225757,15.33256149,,2983972,13093384,1225757
pufferfish,Ecoli,4639675,128,,,128,1,1.316135,15.33256149,,2983972,13093384,1316135
pufferfish,Pseudom,6264404,32,,,32,1,1.29668,20.88814163,,4064844,17837960,1296680
pufferfish,Pseudom,6264404,64,,,64,1,1.26438,20.88814163,,4064844,17837960,1264380
pufferfish,Pseudom,6264404,96,,,96,1,1.31661,20.88814163,,4064844,17837960,1316610
pufferfish,Pseudom,6264404,128,,,128,1,1.332311,20.88814163,,4064844,17837960,1332311
pufferfish,Human21,46709983,32,,,32,1,1.613134,153.6118279,,27017076,134056600,1613134
pufferfish,Human21,46709983,64,,,64,1,1.657222,153.6118279,,27017076,134056600,1657222
pufferfish,Human21,46709983,96,,,96,1,1.583622,153.6118279,,27017076,134056600,1583622
pufferfish,Human21,46709983,128,,,128,1,1.590413,153.6118279,,27017076,134056600,1590413
pufferfish,Human22,50818468,32,,,32,1,1.650157,167.7845345,,29509652,146425184,1650157
pufferfish,Human22,50818468,64,,,64,1,1.627854,167.7845345,,29509652,146425184,1627854
pufferfish,Human22,50818468,96,,,96,1,1.590146,167.7845345,,29509652,146425184,1590146
pufferfish,Human22,50818468,128,,,128,1,1.573964,167.7845345,,29509652,146425184,1573964
pufferfish,Human19,58617616,32,,,32,1,1.711304,188.3724861,,32102916,165419952,1711304
pufferfish,Human19,58617616,64,,,64,1,1.685629,188.3724861,,32102916,165419952,1685629
pufferfish,Human19,58617616,96,,,96,1,1.631278,188.3724861,,32102916,165419952,1631278
pufferfish,Human19,58617616,128,,,128,1,1.648273,188.3724861,,32102916,165419952,1648273
pufferfish,Human20,64444167,32,,,32,1,1.597484,222.649395,,37944276,195520536,1597484
pufferfish,Human20,64444167,64,,,64,1,1.62622,222.649395,,37944276,195520536,1626220
pufferfish,Human20,64444167,96,,,96,1,1.627211,222.649395,,37944276,195520536,1627211
pufferfish,Human20,64444167,128,,,128,1,1.640711,222.649395,,37944276,195520536,1640711
pufferfish,Human18,80373285,32,,,32,1,1.733435,274.0301247,,46700452,240640960,1733435
pufferfish,Human18,80373285,64,,,64,1,1.736745,274.0301247,,46700452,240640960,1736745
pufferfish,Human18,80373285,96,,,96,1,1.719062,274.0301247,,46700452,240640960,1719062
pufferfish,Human18,80373285,128,,,128,1,1.754238,274.0301247,,46700452,240640960,1754238